timestamp,emotion,confidence,posture,state
2026-05-20 14:45:27.315808,Sadness,33.26,Disengaged,Slouched
2026-05-20 14:45:27.781924,Sadness,32.99,Disengaged,Slouched
2026-05-20 14:45:28.259042,Sadness,31.87,Disengaged,Slouched
2026-05-20 14:45:28.843188,Sadness,30.18,Disengaged,Slouched
2026-05-20 14:45:29.963463,Sadness,26.36,Disengaged,Slouched
2026-05-20 14:45:30.548611,Sadness,30.48,Disengaged,Slouched
2026-05-20 14:45:30.862688,Sadness,25.92,Disengaged,Slouched
2026-05-20 14:45:31.864946,Sadness,25.44,Disengaged,Slouched
2026-05-20 14:45:32.255044,Sadness,26.27,Disengaged,Slouched
2026-05-20 14:45:32.547117,Sadness,28.2,Disengaged,Slouched
2026-05-20 14:45:32.864201,Sadness,25.7,Disengaged,Slouched
2026-05-20 14:45:33.082250,Sadness,31.99,Disengaged,Slouched
2026-05-20 14:45:33.424337,Sadness,27.68,Disengaged,Slouched
2026-05-20 14:45:33.816435,Sadness,31.68,Disengaged,Slouched
2026-05-20 14:45:34.656649,Sadness,28.24,Disengaged,Slouched
2026-05-20 14:45:35.269803,Sadness,31.21,Disengaged,Slouched
2026-05-20 14:45:35.560876,Sadness,30.53,Disengaged,Slouched
2026-05-20 14:45:35.799937,Sadness,27.9,Disengaged,Slouched
2026-05-20 14:45:36.057999,Sadness,28.67,Disengaged,Slouched
2026-05-20 14:45:36.304061,Sadness,27.78,Disengaged,Slouched
2026-05-20 14:45:36.757176,Sadness,27.17,Disengaged,Slouched
2026-05-20 14:45:37.006242,Sadness,25.86,Disengaged,Slouched
2026-05-20 14:45:37.364916,Sadness,24.0,Disengaged,Slouched
2026-05-20 14:45:37.629982,Sadness,36.91,Disengaged,Slouched
2026-05-20 14:45:37.879045,Sadness,30.36,Disengaged,Slouched
2026-05-20 14:45:38.142112,Sadness,24.31,Disengaged,Slouched
2026-05-20 14:45:39.393423,Sadness,29.44,Disengaged,Slouched
2026-05-20 14:45:39.678496,Sadness,32.46,Disengaged,Slouched
2026-05-20 14:45:39.939563,Sadness,31.67,Disengaged,Slouched
2026-05-20 14:45:40.178618,Sadness,31.93,Disengaged,Slouched
2026-05-20 14:45:40.416683,Sadness,35.46,Disengaged,Slouched
2026-05-20 14:45:40.678747,Sadness,30.4,Disengaged,Slouched
2026-05-20 14:45:40.924809,Sadness,32.09,Disengaged,Slouched
2026-05-20 14:45:41.159869,Sadness,30.84,Disengaged,Slouched
2026-05-20 14:45:41.458943,Sadness,29.22,Disengaged,Slouched
2026-05-20 14:45:41.696002,Sadness,29.56,Disengaged,Slouched
2026-05-20 14:45:42.010083,Sadness,29.8,Disengaged,Slouched
2026-05-20 14:45:42.549217,Sadness,28.74,Disengaged,Slouched
2026-05-20 14:45:42.815284,Sadness,29.13,Disengaged,Slouched
2026-05-20 14:45:43.097355,Sadness,29.58,Disengaged,Slouched
2026-05-20 14:45:43.364426,Sadness,28.42,Disengaged,Slouched
2026-05-20 14:45:43.664505,Sadness,30.16,Disengaged,Slouched
2026-05-20 14:45:43.908563,Sadness,30.12,Disengaged,Slouched
2026-05-20 14:45:44.139620,Sadness,31.65,Disengaged,Slouched
2026-05-20 14:45:44.375676,Sadness,28.93,Disengaged,Slouched
2026-05-20 14:45:44.656745,Sadness,29.22,Disengaged,Slouched
2026-05-20 14:45:44.949817,Sadness,28.96,Disengaged,Slouched
2026-05-20 14:45:45.460033,Sadness,28.43,Disengaged,Slouched
2026-05-20 14:45:45.701004,Sadness,30.45,Disengaged,Slouched
2026-05-20 14:45:45.940067,Sadness,29.4,Disengaged,Slouched
2026-05-20 14:45:46.177124,Sadness,29.78,Disengaged,Slouched
2026-05-20 14:45:46.412187,Sadness,30.61,Disengaged,Slouched
2026-05-20 14:45:46.676251,Sadness,32.18,Disengaged,Slouched
2026-05-20 14:45:47.004335,Sadness,31.08,Disengaged,Slouched
2026-05-20 14:45:47.361424,Sadness,30.06,Disengaged,Slouched
2026-05-20 14:45:48.089603,Sadness,31.13,Disengaged,Slouched
2026-05-20 14:45:48.499710,Sadness,30.28,Disengaged,Slouched
2026-05-20 14:45:48.725762,Sadness,31.16,Disengaged,Slouched
2026-05-20 14:45:49.140869,Sadness,30.1,Disengaged,Slouched
2026-05-20 14:45:49.506956,Sadness,29.64,Disengaged,Slouched
2026-05-20 14:45:49.761027,Sadness,29.99,Disengaged,Slouched
2026-05-20 14:45:50.115116,Sadness,29.49,Disengaged,Slouched
2026-05-20 14:45:50.555220,Sadness,28.2,Disengaged,Slouched
2026-05-20 14:45:50.900307,Sadness,28.65,Disengaged,Slouched
2026-05-20 14:45:51.140367,Sadness,27.95,Disengaged,Slouched
2026-05-20 14:45:52.180633,Sadness,27.97,Disengaged,Slouched
2026-05-20 14:45:53.279906,Sadness,27.02,Disengaged,Slouched
2026-05-20 14:45:54.300159,Sadness,29.05,Disengaged,Slouched
2026-05-20 14:45:56.434691,Sadness,29.35,Disengaged,Slouched
2026-05-20 14:45:57.530966,Sadness,28.2,Disengaged,Slouched
2026-05-20 14:45:58.834289,Sadness,21.04,Disengaged,Slouched
2026-05-20 14:46:03.522461,Sadness,29.14,Disengaged,Slouched
2026-05-20 14:46:06.206140,Sadness,32.42,Disengaged,Slouched
2026-05-20 14:46:08.081601,Sadness,32.02,Disengaged,Slouched
2026-05-20 14:46:11.699511,Sadness,27.67,Disengaged,Slouched
2026-05-20 14:46:12.290660,Sadness,27.56,Disengaged,Slouched
2026-05-20 14:46:12.692762,Sadness,28.06,Disengaged,Slouched
2026-05-20 14:46:13.061856,Sadness,28.67,Disengaged,Slouched
2026-05-20 14:46:13.491966,Sadness,28.57,Disengaged,Slouched
2026-05-20 14:46:13.935070,Sadness,28.2,Disengaged,Slouched
2026-05-20 14:46:14.108115,Sadness,26.63,Disengaged,Slouched
2026-05-20 14:46:14.274156,Sadness,27.5,Disengaged,Slouched
2026-05-20 14:46:14.829300,Sadness,27.42,Disengaged,Slouched
2026-05-20 14:46:15.284412,Sadness,27.64,Disengaged,Slouched
2026-05-20 14:46:15.865562,Sadness,27.54,Disengaged,Slouched
2026-05-20 14:46:16.222224,Sadness,27.77,Disengaged,Slouched
2026-05-20 14:46:16.622314,Sadness,28.34,Disengaged,Slouched
2026-05-20 17:54:48.493182,Surprise,27.55,Disengaged,Slouched
2026-05-20 17:54:51.669034,Surprise,27.93,Disengaged,Slouched
2026-05-20 17:54:52.788318,Surprise,28.37,Disengaged,Slouched
2026-05-20 17:54:53.598526,Surprise,26.73,Disengaged,Slouched
2026-05-20 17:54:54.257692,Surprise,28.89,Disengaged,Slouched
2026-05-20 17:54:54.688802,Surprise,27.75,Disengaged,Slouched
2026-05-20 17:54:55.068898,Surprise,27.2,Disengaged,Slouched
2026-05-20 17:54:56.134211,Surprise,27.11,Disengaged,Slouched
2026-05-20 17:54:59.352619,Surprise,25.24,Disengaged,Slouched
2026-05-20 17:55:00.091810,Surprise,30.74,Disengaged,Slouched
2026-05-20 17:55:00.819993,Surprise,28.99,Disengaged,Slouched
2026-05-20 17:55:01.583700,Surprise,26.11,Disengaged,Slouched
2026-05-20 17:55:02.217440,Surprise,29.05,Disengaged,Slouched
2026-05-20 17:55:02.903612,Surprise,28.77,Disengaged,Slouched
2026-05-20 17:55:03.562779,Sadness,27.5,Disengaged,Slouched
2026-05-20 17:55:03.937875,Sadness,28.46,Disengaged,Slouched
2026-05-20 17:55:04.681589,Sadness,31.06,Disengaged,Slouched
2026-05-20 17:55:06.096946,Sadness,29.24,Disengaged,Slouched
2026-05-20 17:55:06.586069,Sadness,31.53,Disengaged,Slouched
2026-05-20 17:55:06.919155,Sadness,30.5,Disengaged,Slouched
2026-05-20 17:55:07.673865,Sadness,30.69,Disengaged,Slouched
2026-05-20 17:55:09.437313,Sadness,27.87,Disengaged,Slouched
2026-05-20 17:55:11.132792,Sadness,28.76,Disengaged,Slouched
2026-05-20 17:55:12.158135,Sadness,29.77,Disengaged,Slouched
2026-05-20 17:55:13.490473,Sadness,28.22,Disengaged,Slouched
2026-05-20 17:55:15.686610,Sadness,27.37,Disengaged,Slouched
2026-05-20 17:55:16.842950,Sadness,28.48,Disengaged,Slouched
2026-05-20 17:55:18.309372,Sadness,29.76,Disengaged,Slouched
2026-05-20 17:55:20.479160,Sadness,32.11,Disengaged,Slouched
2026-05-20 17:55:21.933581,Sadness,31.38,Disengaged,Slouched
2026-05-20 17:55:23.833583,Sadness,28.47,Disengaged,Slouched
2026-05-20 17:57:59.373058,Surprise,29.12,Disengaged,Slouched
2026-05-20 17:58:00.268357,Surprise,27.97,Disengaged,Slouched
2026-05-20 17:58:00.642450,Surprise,27.34,Disengaged,Slouched
2026-05-20 17:58:01.320619,Surprise,26.76,Disengaged,Slouched
2026-05-20 17:58:01.660748,Surprise,28.04,Disengaged,Slouched
2026-05-20 17:58:01.950868,Surprise,28.66,Disengaged,Slouched
2026-05-20 17:58:02.229939,Surprise,28.41,Disengaged,Slouched
2026-05-20 17:58:02.581116,Surprise,28.04,Disengaged,Slouched
2026-05-20 17:58:02.886194,Surprise,29.46,Disengaged,Slouched
2026-05-20 17:58:03.136255,Surprise,30.84,Disengaged,Slouched
2026-05-20 17:58:03.503417,Surprise,29.38,Disengaged,Slouched
2026-05-20 17:58:04.027555,Surprise,28.1,Disengaged,Slouched
2026-05-20 17:58:07.224971,Surprise,28.62,Disengaged,Slouched
